poi_id,name,lon,lat,zone_id,facility_type,capacity_level
CEN_LOG_014926,Census logistics 53360284,136.306250,35.404167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014927,Census logistics 53360309,136.493750,35.337500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014928,Census logistics 53360312,136.406250,35.345833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014929,Census logistics 53360419,136.618750,35.345833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014930,Census logistics 53360432,136.531250,35.362500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014931,Census logistics 53360441,136.518750,35.370833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014932,Census logistics 53360464,136.556250,35.387500,MFS71,LOGISTICS_HUB,low
CEN_LOG_014933,Census logistics 53360510,136.631250,35.345833,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014934,Census logistics 53360530,136.631250,35.362500,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014935,Census logistics 53360547,136.718750,35.370833,MFS71,LOGISTICS_HUB,low
CEN_LOG_014936,Census logistics 53360553,136.668750,35.379167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014937,Census logistics 53352600,135.756250,35.504167,MFS68,LOGISTICS_HUB,low
CEN_LOG_014938,Census logistics 53360568,136.731250,35.387500,MFS71,LOGISTICS_HUB,high
CEN_LOG_014939,Census logistics 53360580,136.631250,35.404167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014940,Census logistics 53360627,136.843750,35.354167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014941,Census logistics 53360658,136.856250,35.379167,MFS71,LOGISTICS_HUB,low
CEN_LOG_014942,Census logistics 53360688,136.856250,35.404167,MFS71,LOGISTICS_HUB,medium
CEN_LOG_014943,Census logistics 53360690,136.756250,35.412500,MFS71,LOGISTICS_HUB,high
